All,Barcha
"Only <span id=""%1_max_allowed"">%2</span> in stock","Omborda faqat <span id=""%1_max_allowed"">%2</span>"
Item,Buyum
"See price before order confirmation.","Buyurtmani tasdiqlashdan oldin narxni tekshiring."
"What's this?","Bu nima?"
"Incl. Tax","Soliqlar bilan"
"Excl. Tax",Soliqlarsiz
"Edit item parameters","Elementni parametrlarini tahrirlash"
Edit,Tahrirlash
"Remove item","Elementni o'chirish"
"Products Requiring Attention","E'tibor talab qiladigan mahsulotlar"
"Add to Cart","Savatchaga qo'shish"
Sku,"Mahsulot kodi"
File,Fayl
"File extensions allowed: .csv",".csv kengaytmali fayllarga ruxsat beriladi"
"Add Row","Qator qo'shish"
"Remove Row","Qatorni o'chirish"
"Add Products By SKU","Mahsulotlarni SKUga qo'shish"
"Shopping Cart Management","Savatchani boshqarish"
"View Shopping Cart","Savatchani ko'rish"
"View and modify Shopping Cart","Savatchadagi o'zgartirishlarni ko'rish"
"Order by SKU Settings","SKU sozlamalari asosida tartiblash"
"Enable Order by SKU on My Account in Storefront","Profilimda SKU tartibini yoqish"
"Customer Groups","Xaridor guruhlari"
"Apply Coupon","Kuponni qo'llash"
"Order by SKU Description","SKU ni sharhlar bo'yicha tartiblash"
"Display a Link to Loading a Spreadsheet","Elektron jadvalni yuklab olish uchun URL ni ko'rsatish"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Hisobimda &gt; Buyurtma bo'yicha SKU sahifasi vidjetda ko'rsatiladi"
"Link Text","Matnni bog'lang"
"The text of the link to the My Account &gt; Order by SKU page","Matnni hisobimga bog'lash &gt; Sahifalarni SKU bo'yicha tartiblash"
"Load a list of SKUs","SKU ro'yxatini yuklab olish"
"Order by SKU Template","SKU shablonlari bo'yicha tartiblash"
"Please correct the data sent.","Iltimos, yuborilgan ma'lumotlarni to'g'rilang."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Ob'ekt turi namunasi bo'lishi kerak \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Eksport uchun mavjud mahsulot turlari yo'q"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 sinfni bajarib bo'lmaydi \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Sotish shartlari"
"Index sales rule","Savdo qoidalari indeksi"
"Related Search Terms","Tegishli qidirish shartlari"
"Add New Search Term","Yangi qidiruv so'zini qo'shing"
"Missing search engine parameter.","Qidiruv mexanizmi parametri yo'q."
"Successful! Test again?","Muvaffaqiyatli! Yana tekshirib ko'ring?"
"Connection failed! Test again?","Ulanish xatoligi! Yana tekshirib ko'ring?"
"Enable Search Recommendations","Qidiruv takliflarini yoqish"
"When you enable this option your site may slow down.","Ushbu sozlamani yoqib qo'yish saytingizni sekinlashtirishi mumkin."
"Search Recommendations Count","Qidiruv takliflari soni"
"Show Results Count for Each Recommendation","Har bir tavsiya uchun natijalar sonini ko'rsating"
"Enable Search Suggestions","Qidiruv takliflarini yoqing"
"Search Suggestions Count","Qidiruv takliflari soni"
"Show Results Count for Each Suggestion","Har bir taklif uchun natijalarni ko'rsatish"
"Related search terms","Tegishli qidorosh shartlari"
"Did you mean","Siz buni nazarda tutdingizmi"
"Search Query","Qidiruv so'rovi"
Store,Do'kon
Results,Natijalar
Uses,Foydalanish
"Redirect URL","URL yo'naltirish"
"Suggested Term","Tavsiya etilgan muddat"
Yes,Ha
"RPC call failed, connection timed out after %time_out.","RPC qo'ng'iroqlari muvaffaqiyatsiz tugadi, %time_out vaqtidan keyin ulanish vaqti tugadi."
"Message has been rejected: %1","Xabar rad etildi: %1"
"Error while checking if topic is synchronous","Mavzu sinxronlashtirilganligini tekshirishda xato"
"Subscription status","Obuna holati"
"Sorry, there has been an error processing your request. Please try again later.","Kechirasiz, so'rovingizni bajarishda xatolik yuz berdi. Keyinroq qayta urinib ko'ring."
"Cron settings can't be saved","Cron sozlamalarini saqlab bo'lmaydi"
"There was an error save new configuration value.","Yangi konfiguratsiya qiymatini saqlab bo'lmadi."
"--Please Select--","--Iltimos tanlang--"
"These arguments can't be empty ""%1""","Ushbu dalillar ""%1"" bo'sh bo'lishi mumkin emas"
"Cannot find predefined integration user!","Oldindan belgilangan integratsiya foydalanuvchi topa olmaydi!"
"File is not ready yet.","Fayl hali tayyor emas."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Sizning taglavhangiz o'zgartirildi va sizning hisobotingiz yangilandi. Ushbu o'zgarish qayta ishlanganidan so'ng Kengaytirilgan hisobotlar mavjud bo'ladi. Iltimos keyinroq qayta urinib ko'ring."
"Failed to synchronize data to the Magento Business Intelligence service. ","Ma'lumotni Magento Business Intelligence xizmati bilan sinxronlashtirish mumkin bo'lmadi. "
TestMessage,"Sinov xabari"
"Apps and Games","Ilovalar va o'yinlar"
"Athletic/Sporting Goods","Sport tovarlari"
"Art and Design","San'at va Dizayn"
"Advanced Reporting","Kengaytirilgan hisobot"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Mahsulotlar, buyurtmalar va mijozlar haqidagi dinamik hisobotlardan foydalanib, yangi g'oyalarni oling va ish samaradorligini tekshiring."
"Go to Advanced Reporting","Kengaytirilgan hisobotga o'ting"
Analytics,Tahlillar
Configuration,Konfiguratsiya
"Business Intelligence","Biznes tahlili"
"BI Essentials","BI asoslari"
"Advanced Reporting Service","Kengaytirilgan Yozuvlar Xizmati"
"Time of day to send data","Ma'lumot yuborish vaqti"
Industry,Sanoat
"In order to personalize your Advanced Reporting experience, please select your industry.","Tajribangizni rivojlangan hisobot bilan shaxsiylashtirish uchun sizning sanoatni tanlang."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento Business Intelligence haqida ko'proq bilish</strong>"
"Auto Parts","Avtomatik ehtiyot qismlar"
"Baby/Children’s Apparel, Gear and Toys","Bolalar kiyimlari, bolalar kiyimlari va o'yinchoqlar"
"Beauty and Cosmetics","Go'zallik va kosmetika"
"Books, Music and Magazines","Kitob, musiqa va jurnallar"
"Crafts and Stationery","Qo'l san'atlari va ish yuritish"
"Consumer Electronics","Tijorat Elektronika"
"Deal Site","Eng afzali"
"Fashion Apparel and Accessories","Moda liboslari va aksessuarlari"
"Food, Beverage and Grocery","Oziq-ovqat, ichimliklar va oziq-ovqat mahsulotlari"
"Home Goods and Furniture","Uy-ro'zg'or va Mebel"
"Home Improvement","Uyni takomillashtirish"
"Jewelry and Watches","Zargarlik va soatlar"
"Mass Merchant","Ommaviy savdogar"
"Office Supplies","Ofis jihozlari"
"Outdoor and Camping Gear","Xobbi, dam olish sport"
"Pet Goods","Uy hayvonlari"
"Pharma and Medical Devices","Dori va tibbiy asboblar"
"Technology B2B","Texnologiya B2B"
Done,Bajarildi
Retry,"Qayta urinib ko'ring"
"'Action Details - #' .","'Aksiyaning tafsilotlari - #'."
"%1 item(s) have been scheduled for update.""","Yangilash uchun rejalashtirilgan ob'ektlar soni: %1."""
"Bulk Actions Log","Ommaviy tadbirlar jurnali"
"%1 item(s) are currently being updated.","%1 ta element(lar) hozir yangilanmoqda."
"Task ""%1"": ","""%1"" vazifasi: "
"%1 item(s) have been scheduled for update.","Yangilash uchun %1 yangilash rejalashtirilmoqda."
"%1 item(s) have been successfully updated.","%1 element(lar) muvaffaqiyatli yangilandi."
"%1 item(s) failed to update","%1 element(lar) yangilanmadi"
Details,Batafsil
"View Details","Batafsil ma'lumot"
Dismiss,"Rad etish"
"Pending, in queue...","Kutish, navbatda..."
"%1 items selected for mass update","Ommaviy yangilanish uchun tanlangan %1 ta element"
", %1 successfully updated",", %1 muvaffaqiyatli yangilandi"
", %1 failed to update",", %1 muvaffaqiyatli yangilanmadi"
"Something went wrong.","Nimadir noto'g'ri bajarildi."
"Action Log","Ro'yxatdan o'tish jurnali"
"Bulk Actions","Ommaviy operatsiyalar"
"Days Saved in Log","Kundalik arxivlar saqlandi"
"Description of Operation","Operatsiya tavsifi"
Summary,Xulosa
"Start Time","Boshlanish vaqti"
"Items to Retry","Qaytariladigan narsalar"
"To retry, select the items and click “Retry”.","Takrorlash uchun elementlarni tanlang va ""Qayta ishlating"" tugmasini bosing."
"Items That Can’t Be Updated.","Yangilanib bo'lmaydigan ma'lumotlar."
Status,Holat
"Meta Information","Meta ma'lumoti"
Error,Xato
"Dismiss All Completed Tasks","Barcha tugallangan vazifalarni yashirish"
"Action Details - #","Aktsiya detallari - #"
"Number of Records Affected","Ro'yxatdan o'tkazilgan yozuvlar soni"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Ruxsat etilgan resurslar ro'yxatini tuzayotganda, biror narsa noto'g'ri ketdi. Istisno jurnalida ko'proq ma'lumot olishingiz mumkin."
"You created the order.","Buyurtmani yaratdingiz."
"Order saving error: %1","Buyurtmani saqlash xatosi: %1"
"Please choose a payment method.","Iltimos, to'lov usulini tanlang."
"Credit Card: xxxx-%1","Kredit kartasi: xxxx-%1"
"amount %1","%1 miqdori"
failed.,xatolik.
successful.,muvaffaqiyatli.
"Authorize.Net Transaction ID %1.","Authorize.Net operatsiyalari ID %1."
authorize,avtorizatsiya
"authorize and capture","avtorizatsiyalash va ro'yxatga olish"
capture,"ro'yxatga olish"
refund,"qaytarib berish"
void,"bekor qilindi"
"Gateway error: %1","Gateway xatosi: %1"
"Something went wrong in the payment gateway.","To'lov daftarida xatolik yuz berdi."
"Invalid amount for capture.","Yozuv hajmi noto'g'ri."
"Payment capturing error.","To'lovni ro'yxatga olishda xatolik yuz berdi."
"Invalid transaction ID.","ID raqami noto'g'ri."
"Payment voiding error.","To'lovni bekor qilishda xatolik yuz berdi."
"Invalid amount for refund.","Qaytariladigan pul miqdori noto'g'ri."
"Payment refunding error.","To'lovni qaytarishda xatolik."
"The transaction was declined because the response hash validation failed.","Jarayon rad etildi, chunki hash tekshiruvi muvaffaqiyatsiz tugadi."
"There was a payment authorization error.","To'lovni tasdiqlashda xatolik yuz berdi."
"Please enter a transaction ID to authorize this payment.","Ushbu to'lovni tasdiqlash uchun tranzaksiyaga oid IDni kiriting."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 bitim tasdiqlandi. Miqdori %2. Jurnal holati ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 tranzaktsiyasi bekor qilindi / rad etildi. Jurnal holati ""%2"" dir. Miqdori %3."
"Authorize Only","Faqat avtorizatsiya qiling"
"Authorize and Capture","Ruxsat berish va qabul qilish"
"Electronic payments save the trees.","Elektron to'lovlar daraxtlarni saqlaydi."
"Credit Card Type","Kredit kartasi turi"
"Please Select","Iltimos tanlang"
"Credit Card Number","Kredit karta raqami"
"Expiration Date","Amal qilish muddati"
"Card Verification Number","Karta tasdiqlash kodi"
"Fraud Detection ","Firibgarlikni aniqlash "
"FDS Filter Action","Filtrni bajarish FDS"
"AVS Response","AVS javob"
"Card Code Response","Karta kodi bo'yicha javob"
"CAVV Response","CAVV javob"
"Fraud Filters","Firibgarlik filtrlari"
"Place Order","Buyurtni joylashtirish"
"Sorry, but something went wrong. Please contact the seller.","Kechirasiz, xatolik yuz berdi. Sotuvchi bilan bog'laning."
"Authorize.net Direct Post","To'g'ridan-to'g'ri xabar Authorize.Net"
Enabled,Yoqish
"Payment Action","To'lov turi"
Title,Sarlavha
"API Login ID","API kirish identifikatori"
"Transaction Key","Jurnal kaliti"
"New Order Status","Yangi buyurtma holati"
"Test Mode","Sinov holati"
"Gateway URL","Gateway URL manzili"
"Transaction Details URL","Jurnal tafsilotlaridagi URL"
"Accepted Currency","Qabul qilingan valyuta"
Debug,"Xatolarni tuzatish"
"Email Customer","Mijozning email manzili"
"Merchant's Email","Sotuvchining email manzili"
"Credit Card Types","Kredit kartasi turlari"
"Credit Card Verification","Kredit kartalarini tekshirish"
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Minimum Order Total","Minimal buyurtma miqdori"
"Maximum Order Total","Maksimal Buyurtma miqdori"
"Sort Order","Saralash tartibi"
Environment,"Atrof muhit"
options,sozlamalar
"Select all","Hammasini belgilash"
"Deselect all","Barchasini tanlash"
"%s of %s selected","%s dan %s tanlandi"
"B2B Features","B2B Xususiyatlar"
"Invalid Form Key. Please refresh the page.","Kalit shakli yaroqsiz. Iltimos, sahifani yangilang."
"You entered an invalid Secret Key. Please refresh the page.","Siz noto'g'ri kalitni kiritdingiz. Iltimos, sahifani yangilang."
"Cache Storage Management","Kesh saqlash boshqaruvi"
"Flush Magento Cache","Magentoni keshini tozalang"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Kesh xotirasida qo'shimcha ma'lumotlar bo'lishi mumkin. Uni tozalashni xohlayotganingizga ishonchingiz komilmi?"
"Flush Cache Storage","Keshni saqlash joyini tozalash"
Invalidated,Noto'g'ri
Orders,Buyurtmalar
Amounts,Miqdor
Bestsellers,"Eng ko'p sotilganlar"
"Most Viewed Products","Eng ko'p ko'rilgan mahsulotlar"
"New Customers","Yangi mijozlar"
Customer,Xaridor
Guest,Mehmon
Items,Mahsulotlar
Total,Jami
"Lifetime Sales","Jami savdo"
"Average Order","O'rtacha Buyurtma"
Average,O'rtacha
Views,Ko‘rishlar
Revenue,Daromad
Tax,Soliq
Shipping,"Yetkazib berish"
"Images (.gif, .jpg, .png)","Rasmlar (.gif, .jpg, .png)"
"All Files","Barcha fayllar"
"Reset to Default","Standart holatga qaytarish"
"All Store Views","Barcha do'konlarga tashriflar"
"What is this?","Bu nima?"
"Save Account","Profilni saqlash"
"My Account","Mening profilim"
"Account Information","Profil ma'lumotlari"
"User Name","Foydalanuvchi nomi"
"First Name",Ism
"Last Name",Familiya
"User Email","Foydalanuvchi email"
"New Password","Yangi Parol"
"Password Confirmation","Parolni tasdiqlash"
"Interface Locale","Interfeys tili"
"Current User Identity Verification","Joriy foydalanuvchi identifikatorini tasdiqlash"
"Your Password",Parolingiz
"Save Cache Settings","Keshni saqlash"
"Catalog Rewrites","Katalogni qayta nomlash"
Refresh,Yangilash
"Images Cache","Rasm keshi"
Clear,Tozalash
"Search Index","Qidiruv indeksi"
Rebuild,"Qayta qurish"
"Inventory Stock Status","Omborni inventarizatsiya qilish"
"Rebuild Catalog Index","Katalog indeksini qayta yarating"
"Rebuild Flat Catalog Category","Katalogni qayta yaratish"
"Rebuild Flat Catalog Product","Mahsulot katalogni qayta yaratish"
"Cache Control","Keshni boshqarish"
"All Cache","Barcha keshlar"
"No change",O'zgarishsiz
Disable,O'chirish
Enable,Yoqish
"Add Design Change","Dizaynni o'zgartiring"
Delete,O‘chirish
Save,Saqlash
"Edit Design Change","Dizaynni o'zgartirishni tahrirlash"
"New Store Design Change","Yangi do'kon dizayni o'zgarishi"
"General Settings","Umumiy sozlamalar"
"-- Please Select --","-- Iltimos tanlang --"
"Custom Design","Maxsus dizayn"
"Date From","Sanadan boshlab"
"Date To","Sana bo'yicha"
"Design Change","Dizayn o'zgarishi"
General,Asosiy
"Delete %1 '%2'","%1 '%2' o'chirib tashlash"
"Delete %1","%1 o'chirib tashlash"
"Block Information","Bloklash ma'lumoti"
"Backup Options","Zahira parametrlari"
"Create DB Backup","Ma'lumotlar bazasini zaxiralash"
"Delete Store","Do'konni o'chirish"
"Delete Web Site","Veb-saytni o'chirish"
"Save Web Site","Veb-saytni saqlash"
"Save Store","Do'konni saqlash"
"Save Store View","Do'konni ko'rinishini saqlash"
"Delete Store View","Do'konni ko'rinishini o'chirish"
"Edit Web Site","Veb-saytni tahrirlash"
"New Web Site","Yangi veb-sayt"
"Edit Store","Do'konni tahrirlash"
"New Store","Yangi do'kon"
"Edit Store View","Do'konni ko'rinishini tahrirlash"
"New Store View","Do'konning yangi ko'rinishi"
"Store Information","Do'kon haqida ma'lumot"
"Web Site",Veb-sayt
Name,Ism
Code,Kod
"Root Category","Asosiy kategoriya"
"Default Store View","Standart do'konni ko'rish"
"Store View Information","Savdo ma'lumotlarini ko'rish"
Disabled,O'chirish
"Web Site Information","Veb-sayt haqida ma'lumot"
"Default Store","Standart do'kon"
"Set as Default","Standart sifatida belgilash"
Stores,Do'konlar
"Create Website","Veb-sayt yaratish"
"Create Store","Do'kon yaratish"
"Create Store View","Do'kon ko'rinishini yaratish"
Home,"Bosh sahifa"
"Are you sure you want to do this?","Buni xohlayotganingizga aminmisiz?"
"Add New Image","Yangi rasm qo'shish"
"Export block for grid %1 is not defined","%1 panjara uchun blok eksporti aniqlanmadi"
"Reset Filter","Filtrni tiklash"
Search,Qidiruv
Any,"Har qanday"
"All Countries","Barcha mamlakatlar"
From,-dan
To,-ga
"Date selector","Sanani tanlang"
"[ deleted ]","[ o'chirilgan ]"
"Select All","Hammasini belgilash"
" [deleted]"," [o'chirilgan]"
"Add New","Yangisini qo'shish"
"Invalid export type supplied for grid export block","Blok uchun berilgan eksport turi noto'g'ri"
Export,Eksport
"Please correct the column format and try again.","Ustun formatini o'zgartiring va qaytadan urinib ko'ring."
Submit,Yuborish
"Unknown block type","Noma'lum blok turi"
"Please correct the tab configuration and try again. Tab Id should be not empty","Yorliq konfiguratsiyasini to'g'rilab, qaytadan urinib ko'ring. ID yorlig'i bo'sh bo'lmasligi kerak"
"Please correct the tab configuration and try again.","Yorliq konfiguratsiyasini to'g'rilab, qaytadan urinib ko'ring."
"You have logged out.","Siz tizimdan chiqdingiz."
"The image cache was cleaned.","Rasm keshi tozalangan."
"An error occurred while clearing the image cache.","Rasm keshini tozalashda xatolik yuz berdi."
"The JavaScript/CSS cache has been cleaned.","JavaScript / CSS keshlari tozalangan."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript / CSS keshini tozalashda xatolik yuz berdi."
"The static files cache has been cleaned.","Statik fayllar keshini tozalandi."
"You flushed the cache storage.","Siz keshni xotiradan o'chirib yubordingiz."
"The Magento cache storage has been flushed.","Magento kesh xotirasi o'chirildi."
"Cache Management","Keshlarni boshqarish"
"You can't change status of cache type(s) in production mode","Ishlab chiqarish rejimida kesh turini (statuslarini) o'zgartira olmaysiz"
"%1 cache type(s) disabled.","%1 kesh turi o'chirilgan."
"An error occurred while disabling cache.","Keshni o'chirishda xatolik yuz berdi."
"%1 cache type(s) enabled.","%1 kesh turi yoqildi."
"An error occurred while enabling cache.","Keshni yoqish paytida xatolik yuz berdi."
"%1 cache type(s) refreshed.","%1 kesh turi yangilandi."
"An error occurred while refreshing cache.","Keshni yangilanayotganda xatolik yuz berdi."
Dashboard,"Boshqaruv paneli"
"We updated lifetime statistic.","Biz barcha statistikani yangiladik."
"invalid request","noto'g'ri so'rov"
"see error log for details","tafsilotlar uchun xato jurnaliga qarang"
"Service unavailable: %1","Xizmat mavjud emas: %1"
"Access Denied.","Murojaat rad etildi."
"You need more permissions to do this.","Sizga ko'proq foydalanuvchi huquqlari kerak."
"No search modules were registered","Qidiruv modullari ro'yxatga olinmagan"
